iter	Passed	Remaining
0	214	214782
1	225	112369
2	235	78220
3	245	61247
4	255	50839
5	265	43992
6	276	39209
7	286	35522
8	296	32667
9	307	30418
10	318	28652
11	329	27117
12	339	25791
13	350	24665
14	359	23638
15	370	22755
16	379	21963
17	389	21253
18	399	20651
19	409	20085
20	421	19648
21	431	19193
22	442	18780
23	452	18387
24	462	18032
25	472	17701
26	483	17413
27	493	17122
28	505	16927
29	515	16683
30	527	16473
31	537	16250
32	547	16029
33	557	15825
34	566	15620
35	575	15421
36	585	15231
37	594	15057
38	604	14887
39	613	14728
40	624	14611
41	633	14460
42	643	14321
43	652	14181
44	662	14060
45	672	13944
46	681	13810
47	689	13680
48	698	13558
49	708	13453
50	722	13445
51	734	13395
52	746	13345
53	758	13290
54	776	13336
55	788	13294
56	798	13215
57	808	13129
58	817	13039
59	828	12972
60	838	12914
61	849	12846
62	858	12765
63	867	12687
64	876	12611
65	885	12524
66	893	12447
67	902	12370
68	911	12293
69	924	12285
70	945	12367
71	964	12432
72	994	12632
73	1018	12740
74	1036	12783
75	1058	12870
76	1076	12899
77	1095	12948
78	1120	13061
79	1143	13154
80	1164	13212
81	1182	13236
82	1197	13235
83	1217	13272
84	1232	13263
85	1251	13303
86	1270	13333
87	1289	13363
88	1310	13411
89	1328	13433
90	1346	13445
91	1363	13456
92	1378	13443
93	1391	13408
94	1402	13356
95	1411	13292
96	1421	13236
97	1432	13184
98	1442	13127
99	1453	13078
100	1462	13021
101	1473	12972
102	1483	12919
103	1495	12885
104	1509	12865
105	1518	12808
106	1528	12757
107	1538	12707
108	1548	12660
109	1558	12610
110	1568	12564
111	1579	12520
112	1588	12472
113	1599	12429
114	1609	12383
115	1619	12341
116	1629	12296
117	1639	12255
118	1649	12214
119	1661	12185
120	1671	12145
121	1682	12110
122	1692	12067
123	1702	12027
124	1712	11987
125	1722	11945
126	1732	11908
127	1742	11869
128	1751	11828
129	1762	11795
130	1773	11761
131	1782	11724
132	1792	11687
133	1802	11651
134	1813	11617
135	1823	11581
136	1832	11544
137	1842	11511
138	1852	11475
139	1863	11448
140	1874	11422
141	1884	11388
142	1894	11353
143	1904	11321
144	1918	11310
145	1928	11282
146	1938	11250
147	1948	11219
148	1959	11189
149	1969	11161
150	1982	11148
151	1995	11132
152	2006	11108
153	2017	11081
154	2029	11063
155	2040	11037
156	2050	11008
157	2060	10980
158	2071	10955
159	2082	10935
160	2093	10910
161	2103	10881
162	2112	10849
163	2121	10815
164	2130	10783
165	2139	10747
166	2147	10712
167	2156	10679
168	2164	10645
169	2173	10613
170	2182	10580
171	2191	10548
172	2199	10513
173	2207	10480
174	2216	10448
175	2224	10416
176	2233	10386
177	2242	10354
178	2252	10329
179	2263	10313
180	2274	10289
181	2283	10263
182	2292	10235
183	2301	10206
184	2310	10177
185	2319	10151
186	2329	10126
187	2338	10101
188	2347	10074
189	2357	10051
190	2366	10023
191	2376	9999
192	2385	9974
193	2395	9951
194	2405	9929
195	2414	9904
196	2424	9883
197	2434	9859
198	2444	9838
199	2453	9813
200	2463	9793
201	2474	9773
202	2484	9754
203	2494	9732
204	2505	9716
205	2517	9703
206	2527	9683
207	2537	9661
208	2546	9638
209	2556	9617
210	2565	9591
211	2576	9577
212	2588	9563
213	2597	9541
214	2607	9520
215	2616	9498
216	2625	9472
217	2634	9450
218	2643	9428
219	2653	9407
220	2662	9384
221	2671	9363
222	2683	9351
223	2693	9331
224	2703	9312
225	2712	9288
226	2721	9268
227	2730	9246
228	2740	9227
229	2749	9205
230	2757	9180
231	2768	9164
232	2777	9142
233	2787	9124
234	2796	9103
235	2807	9089
236	2816	9068
237	2827	9052
238	2837	9035
239	2846	9013
240	2856	8995
241	2865	8976
242	2875	8957
243	2885	8941
244	2896	8925
245	2905	8906
246	2915	8888
247	2924	8866
248	2935	8853
249	2947	8842
250	2960	8834
251	2975	8831
252	2989	8827
253	3003	8821
254	3013	8804
255	3025	8793
256	3037	8781
257	3048	8766
258	3059	8752
259	3071	8742
260	3082	8729
261	3096	8721
262	3109	8712
263	3120	8700
264	3131	8686
265	3143	8673
266	3155	8663
267	3171	8662
268	3186	8660
269	3203	8661
270	3216	8652
271	3228	8640
272	3241	8631
273	3257	8631
274	3273	8630
275	3289	8629
276	3307	8632
277	3323	8632
278	3340	8632
279	3355	8629
280	3372	8628
281	3388	8626
282	3404	8626
283	3421	8625
284	3436	8622
285	3452	8619
286	3468	8617
287	3481	8606
288	3492	8591
289	3505	8582
290	3582	8729
291	3625	8791
292	3643	8791
293	3663	8798
294	3676	8785
295	3686	8768
296	3698	8753
297	3709	8738
298	3720	8721
299	3734	8713
300	3750	8710
301	3767	8707
302	3785	8708
303	3803	8706
304	3821	8708
305	3837	8703
306	3852	8696
307	3868	8691
308	3884	8686
309	3898	8676
310	3911	8666
311	3922	8649
312	3936	8639
313	3948	8626
314	3958	8608
315	3968	8589
316	3978	8571
317	3989	8555
318	4000	8539
319	4013	8527
320	4025	8514
321	4034	8495
322	4044	8477
323	4054	8458
324	4063	8439
325	4072	8419
326	4080	8399
327	4090	8379
328	4098	8359
329	4110	8345
330	4120	8327
331	4129	8308
332	4138	8289
333	4147	8269
334	4155	8249
335	4164	8230
336	4173	8210
337	4182	8190
338	4192	8174
339	4203	8159
340	4216	8147
341	4229	8137
342	4240	8122
343	4249	8104
344	4259	8087
345	4269	8069
346	4278	8051
347	4288	8034
348	4297	8015
349	4306	7998
350	4315	7978
351	4324	7961
352	4334	7943
353	4343	7925
354	4352	7908
355	4361	7890
356	4371	7872
357	4380	7855
358	4389	7837
359	4401	7824
360	4413	7811
361	4426	7802
362	4436	7785
363	4445	7768
364	4456	7752
365	4465	7736
366	4475	7719
367	4485	7704
368	4497	7691
369	4509	7677
370	4520	7664
371	4532	7651
372	4542	7635
373	4553	7621
374	4562	7603
375	4571	7587
376	4580	7570
377	4590	7553
378	4601	7539
379	4611	7524
380	4625	7515
381	4639	7505
382	4649	7489
383	4657	7471
384	4667	7455
385	4676	7438
386	4685	7420
387	4693	7403
388	4702	7386
389	4711	7368
390	4720	7351
391	4728	7334
392	4742	7324
393	4754	7312
394	4764	7297
395	4774	7281
396	4783	7265
397	4792	7248
398	4805	7237
399	4819	7229
400	4837	7225
401	4847	7210
402	4858	7196
403	4868	7182
404	4879	7168
405	4888	7151
406	4898	7137
407	4908	7121
408	4917	7106
409	4928	7091
410	4938	7076
411	4948	7062
412	4960	7051
413	4971	7036
414	4980	7020
415	4991	7006
416	5001	6991
417	5012	6979
418	5023	6965
419	5037	6956
420	5049	6944
421	5059	6930
422	5069	6915
423	5080	6901
424	5092	6889
425	5105	6879
426	5118	6868
427	5129	6854
428	5139	6840
429	5148	6825
430	5158	6810
431	5168	6796
432	5179	6781
433	5189	6767
434	5199	6752
435	5212	6742
436	5224	6730
437	5235	6717
438	5250	6709
439	5260	6695
440	5271	6681
441	5282	6668
442	5292	6654
443	5302	6640
444	5313	6626
445	5323	6612
446	5333	6598
447	5343	6583
448	5353	6569
449	5363	6554
450	5373	6540
451	5383	6526
452	5392	6511
453	5401	6496
454	5413	6484
455	5426	6473
456	5437	6460
457	5448	6447
458	5460	6435
459	5469	6421
460	5478	6405
461	5487	6390
462	5497	6376
463	5505	6360
464	5514	6344
465	5523	6329
466	5531	6313
467	5547	6306
468	5558	6292
469	5566	6277
470	5575	6261
471	5583	6246
472	5594	6233
473	5606	6221
474	5621	6213
475	5632	6200
476	5643	6187
477	5657	6177
478	5668	6165
479	5678	6152
480	5688	6137
481	5698	6123
482	5709	6111
483	5718	6096
484	5727	6081
485	5736	6067
486	5745	6052
487	5754	6037
488	5762	6021
489	5771	6007
490	5781	5993
491	5790	5978
492	5799	5964
493	5809	5950
494	5818	5936
495	5829	5923
496	5840	5911
497	5852	5899
498	5866	5890
499	5877	5877
500	5887	5864
501	5897	5850
502	5908	5837
503	5918	5824
504	5928	5810
505	5938	5797
506	5947	5783
507	5956	5768
508	5966	5755
509	5975	5740
510	5984	5727
511	5994	5713
512	6005	5700
513	6014	5686
514	6024	5673
515	6035	5661
516	6046	5649
517	6059	5638
518	6072	5627
519	6082	5614
520	6092	5601
521	6102	5587
522	6111	5573
523	6120	5560
524	6130	5547
525	6140	5533
526	6151	5521
527	6161	5507
528	6173	5496
529	6182	5482
530	6192	5469
531	6202	5456
532	6211	5442
533	6221	5428
534	6230	5415
535	6241	5403
536	6252	5391
537	6266	5381
538	6279	5370
539	6289	5357
540	6300	5345
541	6309	5331
542	6319	5318
543	6329	5305
544	6338	5291
545	6348	5278
546	6357	5265
547	6366	5251
548	6376	5237
549	6386	5225
550	6398	5213
551	6407	5200
552	6418	5188
553	6428	5174
554	6437	5161
555	6449	5149
556	6459	5137
557	6472	5126
558	6486	5116
559	6497	5104
560	6507	5092
561	6517	5079
562	6527	5066
563	6537	5054
564	6552	5044
565	6562	5032
566	6576	5022
567	6586	5009
568	6596	4996
569	6606	4983
570	6616	4970
571	6626	4958
572	6636	4945
573	6648	4934
574	6661	4924
575	6673	4912
576	6691	4905
577	6703	4894
578	6714	4881
579	6725	4869
580	6735	4857
581	6745	4844
582	6755	4831
583	6765	4819
584	6775	4806
585	6785	4794
586	6796	4781
587	6807	4769
588	6817	4757
589	6830	4746
590	6842	4735
591	6854	4723
592	6865	4712
593	6877	4701
594	6893	4692
595	6903	4679
596	6914	4667
597	6925	4655
598	6935	4643
599	6948	4632
600	6959	4620
601	6969	4607
602	6979	4594
603	6988	4581
604	6997	4568
605	7007	4556
606	7016	4542
607	7026	4530
608	7035	4516
609	7044	4504
610	7054	4491
611	7066	4479
612	7077	4468
613	7092	4458
614	7102	4446
615	7112	4433
616	7124	4422
617	7135	4410
618	7146	4398
619	7156	4386
620	7166	4373
621	7177	4361
622	7187	4349
623	7198	4337
624	7210	4326
625	7219	4313
626	7228	4300
627	7238	4287
628	7246	4274
629	7259	4263
630	7269	4251
631	7306	4254
632	7323	4246
633	7339	4236
634	7356	4228
635	7373	4220
636	7386	4209
637	7397	4197
638	7406	4184
639	7416	4171
640	7427	4159
641	7438	4148
642	7448	4135
643	7457	4122
644	7468	4110
645	7479	4098
646	7490	4086
647	7504	4076
648	7513	4063
649	7522	4050
650	7531	4037
651	7540	4024
652	7550	4012
653	7561	4000
654	7576	3990
655	7585	3977
656	7594	3964
657	7602	3951
658	7611	3938
659	7619	3925
660	7627	3911
661	7638	3900
662	7648	3887
663	7658	3875
664	7669	3863
665	7679	3851
666	7690	3839
667	7701	3827
668	7714	3816
669	7724	3804
670	7734	3792
671	7743	3779
672	7753	3767
673	7763	3755
674	7772	3742
675	7783	3730
676	7792	3717
677	7802	3705
678	7812	3693
679	7820	3680
680	7830	3667
681	7839	3655
682	7849	3643
683	7860	3631
684	7870	3619
685	7880	3606
686	7890	3594
687	7900	3582
688	7909	3570
689	7919	3557
690	7931	3546
691	7942	3535
692	7956	3524
693	7972	3515
694	7986	3505
695	7998	3493
696	8009	3481
697	8022	3471
698	8036	3460
699	8048	3449
700	8059	3437
701	8070	3425
702	8081	3414
703	8093	3402
704	8112	3394
705	8126	3384
706	8138	3372
707	8148	3360
708	8161	3349
709	8173	3338
710	8183	3326
711	8194	3314
712	8205	3302
713	8216	3291
714	8227	3279
715	8237	3267
716	8247	3255
717	8259	3243
718	8270	3232
719	8282	3221
720	8294	3209
721	8311	3200
722	8323	3188
723	8334	3177
724	8345	3165
725	8357	3154
726	8368	3142
727	8381	3131
728	8392	3119
729	8403	3108
730	8414	3096
731	8426	3084
732	8436	3073
733	8448	3061
734	8459	3050
735	8470	3038
736	8482	3026
737	8494	3015
738	8509	3005
739	8522	2994
740	8534	2982
741	8549	2972
742	8563	2961
743	8578	2951
744	8591	2940
745	8601	2928
746	8613	2917
747	8624	2905
748	8633	2893
749	8642	2880
750	8652	2868
751	8661	2856
752	8672	2844
753	8682	2832
754	8693	2821
755	8704	2809
756	8716	2798
757	8727	2786
758	8738	2774
759	8748	2762
760	8758	2750
761	8767	2738
762	8776	2726
763	8785	2713
764	8794	2701
765	8803	2689
766	8811	2676
767	8820	2664
768	8829	2652
769	8838	2640
770	8847	2627
771	8857	2615
772	8866	2603
773	8877	2591
774	8887	2580
775	8897	2568
776	8910	2557
777	8922	2545
778	8933	2534
779	8943	2522
780	8952	2510
781	8962	2498
782	8971	2486
783	8979	2474
784	8988	2461
785	8998	2449
786	9006	2437
787	9015	2425
788	9024	2413
789	9033	2401
790	9042	2389
791	9051	2377
792	9060	2365
793	9069	2352
794	9078	2341
795	9089	2329
796	9100	2317
797	9116	2307
798	9126	2295
799	9137	2284
800	9147	2272
801	9157	2260
802	9170	2249
803	9182	2238
804	9191	2226
805	9203	2215
806	9214	2203
807	9223	2191
808	9233	2179
809	9242	2167
810	9251	2156
811	9260	2144
812	9269	2132
813	9279	2120
814	9289	2108
815	9299	2096
816	9310	2085
817	9322	2074
818	9333	2062
819	9343	2050
820	9352	2039
821	9361	2027
822	9370	2015
823	9379	2003
824	9388	1991
825	9397	1979
826	9406	1967
827	9414	1955
828	9423	1943
829	9432	1932
830	9441	1920
831	9450	1908
832	9458	1896
833	9467	1884
834	9476	1872
835	9486	1861
836	9496	1849
837	9507	1837
838	9519	1826
839	9530	1815
840	9539	1803
841	9549	1791
842	9559	1780
843	9570	1768
844	9587	1758
845	9598	1747
846	9609	1735
847	9620	1724
848	9632	1713
849	9643	1701
850	9653	1690
851	9663	1678
852	9673	1667
853	9682	1655
854	9695	1644
855	9707	1633
856	9769	1630
857	9784	1619
858	9806	1609
859	9821	1598
860	9833	1587
861	9844	1576
862	9854	1564
863	9865	1552
864	9875	1541
865	9886	1529
866	9896	1518
867	9908	1506
868	9919	1495
869	9930	1483
870	9946	1473
871	9958	1461
872	9970	1450
873	9980	1438
874	9990	1427
875	10000	1415
876	10011	1404
877	10021	1392
878	10031	1380
879	10041	1369
880	10052	1357
881	10061	1346
882	10072	1334
883	10082	1323
884	10092	1311
885	10104	1300
886	10115	1288
887	10126	1277
888	10140	1266
889	10152	1254
890	10164	1243
891	10177	1232
892	10187	1220
893	10197	1209
894	10206	1197
895	10216	1185
896	10227	1174
897	10237	1162
898	10248	1151
899	10260	1140
900	10270	1128
901	10280	1116
902	10290	1105
903	10299	1093
904	10311	1082
905	10322	1071
906	10334	1059
907	10347	1048
908	10358	1036
909	10368	1025
910	10378	1013
911	10390	1002
912	10402	991
913	10411	979
914	10422	968
915	10432	956
916	10442	945
917	10452	933
918	10461	922
919	10471	910
920	10481	899
921	10490	887
922	10500	875
923	10509	864
924	10520	852
925	10530	841
926	10541	830
927	10553	818
928	10567	807
929	10576	796
930	10591	784
